Time,Height,Measured Temp (Water),Error,PID Output
2025-03-06 15:16:23,1000.0,19.65,-69.65,-20.895
2025-03-06 15:16:44,979.105,19.85,-69.85,-20.955
2025-03-06 15:17:04,958.15,19.82,-69.82,-20.945999999999998
2025-03-06 15:17:24,937.204,19.95,-69.95,-20.985
2025-03-06 15:17:45,916.2189999999999,20.09,-70.09,-21.027
2025-03-06 15:18:05,895.1919999999999,20.09,-70.09,-21.027
2025-03-06 15:18:26,874.1649999999998,20.16,-70.16,-21.048
2025-03-06 15:18:46,853.1169999999998,20.16,-70.16,-21.048
2025-03-06 15:19:06,832.0689999999998,19.45,-69.45,-20.835
2025-03-06 15:19:27,811.2339999999998,16.92,-66.92,-20.076
2025-03-06 15:19:47,791.1579999999998,13.61,-63.61,-19.083
2025-03-06 15:20:07,772.0749999999998,10.04,-60.04,-18.012
2025-03-06 15:20:28,754.0629999999999,6.47,-56.47,-16.941
2025-03-06 15:20:48,737.1219999999998,2.74,-52.74,-15.822
2025-03-06 15:21:09,721.2999999999998,-1.16,-48.84,-14.652000000000001
2025-03-06 15:21:29,706.6479999999998,-3.74,-46.26,-13.877999999999998
2025-03-06 15:21:49,692.7699999999998,-8.27,-41.730000000000004,-12.519
2025-03-06 15:22:10,680.2509999999997,-12.72,-37.28,-11.184
2025-03-06 15:22:30,669.0669999999998,-17.1,-32.9,-9.87
2025-03-06 15:22:50,659.1969999999998,-21.2,-28.8,-8.64
2025-03-06 15:23:11,650.5569999999998,-25.27,-24.73,-7.419
2025-03-06 15:23:31,643.1379999999998,-29.37,-20.63,-6.188999999999999
2025-03-06 15:23:51,636.9489999999998,-33.19,-16.810000000000002,-5.043
2025-03-06 15:24:12,631.9059999999998,-36.98,-13.020000000000003,-3.9060000000000006
2025-03-06 15:24:32,627.9999999999999,-40.43,-9.57,-2.871
2025-03-06 15:24:53,625.1289999999999,-43.61,-6.390000000000001,-1.917
2025-03-06 15:25:13,623.2119999999999,-46.55,-3.450000000000003,-1.0350000000000008
2025-03-06 15:25:33,622.1769999999999,-49.23,-0.7700000000000031,-0.23100000000000093
2025-03-06 15:25:53,622.1769999999999,-51.41,1.4099999999999966,0.422999999999999
2025-03-06 15:26:14,622.1769999999999,-53.23,3.229999999999997,0.968999999999999
2025-03-06 15:26:34,622.1769999999999,-54.88,4.880000000000003,1.4640000000000006
2025-03-06 15:26:54,623.641,-56.26,6.259999999999998,1.8779999999999992
2025-03-06 15:27:15,625.519,-57.35,7.350000000000001,2.2050000000000005
2025-03-06 15:27:35,627.724,-58.04,8.04,2.4119999999999995
2025-03-06 15:27:56,630.1360000000001,-58.5,8.5,2.55
2025-03-06 15:28:16,632.686,-58.67,8.670000000000002,2.6010000000000004
2025-03-06 15:28:37,635.287,-59.03,9.030000000000001,2.709
2025-03-06 15:28:57,637.996,-59.33,9.329999999999998,2.7989999999999995
2025-03-06 15:29:18,640.795,-59.29,9.29,2.7869999999999995
2025-03-06 15:29:38,643.582,-59.06,9.060000000000002,2.7180000000000004
2025-03-06 15:29:59,646.3,-58.83,8.829999999999998,2.6489999999999996
2025-03-06 15:30:19,648.949,-58.27,8.270000000000003,2.4810000000000008
2025-03-06 15:30:40,651.43,-57.81,7.810000000000002,2.3430000000000004
2025-03-06 15:31:00,653.7729999999999,-57.28,7.280000000000001,2.184
2025-03-06 15:31:21,655.9569999999999,-56.89,6.890000000000001,2.067
2025-03-06 15:31:41,658.0239999999999,-56.16,6.159999999999997,1.847999999999999
2025-03-06 15:32:02,659.8719999999998,-55.57,5.57,1.671
2025-03-06 15:32:22,661.5429999999999,-55.01,5.009999999999998,1.5029999999999994
2025-03-06 15:32:43,663.0459999999999,-54.32,4.32,1.296
2025-03-06 15:33:03,664.342,-53.66,3.6599999999999966,1.097999999999999
