Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-27 15:03:25,1000,23.94,26.55
2025-02-27 15:03:27,1000,23.94,26.55
2025-02-27 15:03:28,1000,24.11,26.48
2025-02-27 15:03:28,985,23.94,26.41
2025-02-27 15:03:30,985,24.11,26.48
2025-02-27 15:03:31,985,23.98,26.44
2025-02-27 15:03:31,970,24.04,26.55
2025-02-27 15:03:33,970,23.84,26.44
2025-02-27 15:03:34,970,24.01,26.48
2025-02-27 15:03:34,955,23.81,26.48
2025-02-27 15:03:36,955,24.11,26.44
2025-02-27 15:03:37,955,24.04,26.48
2025-02-27 15:03:38,955,23.91,26.44
2025-02-27 15:03:39,940,24.04,26.48
2025-02-27 15:03:40,940,23.74,26.58
2025-02-27 15:03:41,940,23.84,26.51
2025-02-27 15:03:42,940,23.94,26.48
2025-02-27 15:03:43,925,23.94,26.58
2025-02-27 15:03:44,925,24.11,26.44
2025-02-27 15:03:45,925,24.08,26.48
2025-02-27 15:03:46,910,23.98,26.48
2025-02-27 15:03:47,910,24.14,26.51
2025-02-27 15:03:48,910,23.87,26.48
2025-02-27 15:03:49,895,24.04,26.51
2025-02-27 15:03:50,895,23.87,26.55
2025-02-27 15:03:51,895,23.94,26.44
2025-02-27 15:03:52,880,24.01,26.51
2025-02-27 15:03:53,880,24.08,26.44
2025-02-27 15:03:54,880,24.14,26.51
2025-02-27 15:03:55,865,23.98,26.48
2025-02-27 15:03:56,865,24.11,26.51
2025-02-27 15:03:57,865,24.01,26.51
