Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-27 10:38:01,1000,21.61,24.11
2025-02-27 10:38:02,1000,21.74,24.04
2025-02-27 10:38:04,1000,21.64,24.18
2025-02-27 10:38:05,985,21.64,24.04
2025-02-27 10:38:06,985,21.61,24.11
2025-02-27 10:38:07,985,21.54,24.08
2025-02-27 10:38:09,970,21.58,24.11
2025-02-27 10:38:10,970,21.61,24.04
2025-02-27 10:38:11,970,21.64,24.11
2025-02-27 10:38:13,955,21.61,24.11
2025-02-27 10:38:14,955,21.78,24.08
2025-02-27 10:38:15,955,21.61,24.11
2025-02-27 10:38:17,940,21.61,24.11
2025-02-27 10:38:18,940,21.47,24.01
2025-02-27 10:38:19,940,21.47,23.98
2025-02-27 10:38:21,925,21.68,24.04
2025-02-27 10:38:22,925,21.58,24.08
2025-02-27 10:38:23,925,21.61,24.01
