Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-27 10:52:48,1000,21.68,24.04
2025-02-27 10:52:49,1000,21.68,24.04
2025-02-27 10:52:50,1000,21.44,24.11
2025-02-27 10:52:52,980,21.47,23.94
2025-02-27 10:52:53,980,21.47,23.98
2025-02-27 10:52:54,980,21.31,23.98
2025-02-27 10:52:56,960,21.37,23.98
2025-02-27 10:52:57,960,21.61,24.11
2025-02-27 10:52:58,960,21.41,23.94
2025-02-27 10:53:00,940,21.58,24.14
2025-02-27 10:53:01,940,21.47,24.04
2025-02-27 10:53:02,940,21.44,24.04
2025-02-27 10:53:04,920,21.58,23.94
2025-02-27 10:53:05,920,21.71,23.91
2025-02-27 10:53:07,920,21.47,24.01
