Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-26 16:48:31,1000,17.96,19.99
2025-02-26 16:48:32,1000,17.86,20.19
2025-02-26 16:48:33,1000,17.83,20.16
2025-02-26 16:48:35,980,17.73,20.22
2025-02-26 16:48:36,980,17.69,20.22
2025-02-26 16:48:37,980,17.73,20.22
2025-02-26 16:48:39,960,17.66,20.06
2025-02-26 16:48:40,960,17.42,20.12
2025-02-26 16:48:41,960,17.42,20.16
2025-02-26 16:48:43,940,17.12,20.16
2025-02-26 16:48:44,940,16.92,20.09
2025-02-26 16:48:45,940,16.78,20.12
2025-02-26 16:48:46,920,16.61,20.02
2025-02-26 16:48:48,920,16.27,20.12
2025-02-26 16:48:49,920,16.17,20.16
2025-02-26 16:48:50,920,15.97,20.22
2025-02-26 16:48:51,900,15.46,20.12
2025-02-26 16:48:53,900,15.19,20.09
2025-02-26 16:48:54,900,15.09,20.16
2025-02-26 16:48:55,880,14.76,20.02
2025-02-26 16:48:57,880,14.49,20.12
2025-02-26 16:48:58,880,14.22,20.02
2025-02-26 16:48:59,860,13.91,20.09
2025-02-26 16:49:00,860,13.61,20.02
2025-02-26 16:49:02,860,13.48,19.99
2025-02-26 16:49:03,860,13.04,20.06
2025-02-26 16:49:04,860,12.87,19.99
2025-02-26 16:49:05,860,12.97,20.06
2025-02-26 16:49:07,840,12.4,19.95
2025-02-26 16:49:08,840,12.33,19.95
2025-02-26 16:49:09,840,12.16,19.99
