Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-27 14:30:54,1000,23.33,25.9
2025-02-27 14:30:55,1000,23.43,25.87
2025-02-27 14:30:56,1000,23.3,25.94
2025-02-27 14:30:57,980,23.43,25.97
2025-02-27 14:30:58,980,23.33,25.87
2025-02-27 14:30:59,980,23.33,25.87
2025-02-27 14:31:00,960,23.3,25.94
2025-02-27 14:31:01,960,23.33,25.87
2025-02-27 14:31:02,960,23.37,25.73
2025-02-27 14:31:03,940,23.37,25.84
2025-02-27 14:31:04,940,23.33,25.94
2025-02-27 14:31:05,940,23.4,25.87
2025-02-27 14:31:06,920,23.3,25.97
2025-02-27 14:31:07,920,23.47,25.94
2025-02-27 14:31:08,920,23.33,25.9
2025-02-27 14:31:09,900,23.3,26.01
2025-02-27 14:31:10,900,23.4,25.84
2025-02-27 14:31:11,900,23.47,25.9
2025-02-27 14:31:12,880,23.33,25.84
2025-02-27 14:31:13,880,23.43,25.87
2025-02-27 14:31:14,880,23.54,25.87
2025-02-27 14:31:15,860,23.3,25.87
2025-02-27 14:31:16,860,23.33,25.97
2025-02-27 14:31:17,860,23.3,25.9
2025-02-27 14:31:18,840,23.43,25.8
2025-02-27 14:31:19,840,23.43,25.97
2025-02-27 14:31:20,840,23.37,25.94
2025-02-27 14:31:21,820,23.5,25.94
2025-02-27 14:31:22,820,23.43,25.9
2025-02-27 14:31:23,820,23.4,25.9
2025-02-27 14:31:24,800,23.54,25.84
2025-02-27 14:31:25,800,23.43,25.9
2025-02-27 14:31:26,800,23.5,25.87
2025-02-27 14:31:27,780,23.33,25.97
2025-02-27 14:31:28,780,23.37,25.84
2025-02-27 14:31:29,780,23.54,25.94
2025-02-27 14:31:30,760,23.33,25.94
2025-02-27 14:31:31,760,23.47,25.84
2025-02-27 14:31:32,760,23.47,25.9
2025-02-27 14:31:33,740,23.33,25.84
2025-02-27 14:31:34,740,23.43,25.84
2025-02-27 14:31:35,740,23.37,25.9
2025-02-27 14:31:36,720,23.43,25.87
2025-02-27 14:31:37,720,23.43,26.01
2025-02-27 14:31:38,720,23.3,25.94
2025-02-27 14:31:39,700,23.4,25.94
2025-02-27 14:31:40,700,23.37,25.94
2025-02-27 14:31:41,700,23.4,25.87
2025-02-27 14:31:42,680,23.4,25.9
2025-02-27 14:31:43,680,23.37,25.97
2025-02-27 14:31:44,680,23.4,25.97
2025-02-27 14:31:45,660,23.4,25.9
2025-02-27 14:31:46,660,23.4,25.9
2025-02-27 14:31:47,660,23.43,25.97
2025-02-27 14:31:48,640,23.43,25.94
2025-02-27 14:31:49,640,23.27,25.9
2025-02-27 14:31:50,640,23.37,25.87
