Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-27 10:39:08,1000,21.61,24.11
2025-02-27 10:39:09,1000,21.58,24.11
2025-02-27 10:39:10,1000,21.58,24.14
2025-02-27 10:39:12,985,21.71,24.08
2025-02-27 10:39:13,985,21.64,24.14
2025-02-27 10:39:14,985,21.64,24.01
2025-02-27 10:39:16,970,21.58,24.11
2025-02-27 10:39:17,970,21.61,24.11
2025-02-27 10:39:18,970,21.47,24.14
2025-02-27 10:39:20,955,21.68,24.11
2025-02-27 10:39:21,955,21.64,24.04
2025-02-27 10:39:22,955,21.71,24.04
2025-02-27 10:39:24,940,21.68,24.11
2025-02-27 10:39:25,940,21.58,24.08
2025-02-27 10:39:26,940,21.51,24.04
2025-02-27 10:39:28,925,21.71,24.08
2025-02-27 10:39:29,925,21.58,24.08
2025-02-27 10:39:30,925,21.64,24.14
2025-02-27 10:39:31,910,21.61,24.11
2025-02-27 10:39:33,910,21.61,24.11
2025-02-27 10:39:34,910,21.68,24.18
2025-02-27 10:39:35,895,21.64,24.08
2025-02-27 10:39:37,895,21.68,24.25
2025-02-27 10:39:38,895,21.68,24.04
