Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-26 14:57:21,1000,24.89,27.26
2025-02-26 14:57:22,1000,24.85,27.26
2025-02-26 14:57:24,1000,24.85,27.29
2025-02-26 14:57:25,980,24.85,27.36
2025-02-26 14:57:26,980,24.75,27.43
2025-02-26 14:57:27,980,24.85,27.29
2025-02-26 14:57:29,960,24.79,27.33
2025-02-26 14:57:30,960,24.75,27.39
2025-02-26 14:57:31,960,24.89,27.33
2025-02-26 14:57:32,940,24.75,27.36
2025-02-26 14:57:33,940,24.82,27.19
2025-02-26 14:57:35,940,24.82,27.22
2025-02-26 14:57:36,920,24.82,27.29
2025-02-26 14:57:37,920,24.82,27.29
2025-02-26 14:57:38,920,24.75,27.33
2025-02-26 14:57:40,900,24.79,27.36
2025-02-26 14:57:41,900,24.85,27.29
2025-02-26 14:57:42,900,24.85,27.26
2025-02-26 14:57:43,880,24.79,27.26
2025-02-26 14:57:44,880,24.75,27.36
2025-02-26 14:57:46,880,24.72,27.26
2025-02-26 14:57:47,860,24.75,27.43
2025-02-26 14:57:48,860,24.85,27.43
2025-02-26 14:57:49,860,24.89,27.29
2025-02-26 14:57:51,840,24.96,27.36
2025-02-26 14:57:52,840,24.89,27.29
2025-02-26 14:57:53,840,24.82,27.39
2025-02-26 14:57:54,820,24.92,27.36
2025-02-26 14:57:55,820,24.85,27.39
2025-02-26 14:57:57,820,24.89,27.46
