Time,Height,Temp1 (Ambient),Temp2 (Water)
2025-02-26 16:25:17,1000,15.7,21.85
2025-02-26 16:25:18,1000,15.57,21.81
2025-02-26 16:25:19,1000,15.23,21.81
2025-02-26 16:25:20,1000,14.96,21.71
2025-02-26 16:25:21,1000,14.72,21.85
2025-02-26 16:25:23,980,14.39,21.91
2025-02-26 16:25:24,980,14.01,21.95
2025-02-26 16:25:25,980,13.31,21.98
2025-02-26 16:25:26,980,12.94,21.95
2025-02-26 16:25:27,980,12.57,21.95
2025-02-26 16:25:28,980,12.53,22.05
2025-02-26 16:25:30,980,12.19,21.95
2025-02-26 16:25:31,980,11.82,22.01
2025-02-26 16:25:32,980,11.69,22.01
2025-02-26 16:25:33,980,11.32,21.98
2025-02-26 16:25:34,980,10.81,22.01
2025-02-26 16:25:35,980,10.75,21.95
2025-02-26 16:25:36,980,10.64,22.05
2025-02-26 16:25:38,960,10.11,22.01
2025-02-26 16:25:39,960,9.74,22.01
2025-02-26 16:25:40,960,9.47,22.05
2025-02-26 16:25:41,960,9.16,22.12
2025-02-26 16:25:42,960,8.86,22.12
2025-02-26 16:25:44,960,8.52,22.01
2025-02-26 16:25:45,960,8.36,22.08
2025-02-26 16:25:46,960,8.05,22.01
2025-02-26 16:25:47,960,7.82,22.05
2025-02-26 16:25:48,960,7.65,22.12
2025-02-26 16:25:50,940,7.41,22.08
2025-02-26 16:25:51,940,7.14,22.08
2025-02-26 16:25:52,940,6.94,22.01
2025-02-26 16:25:53,920,6.47,21.91
2025-02-26 16:25:54,920,6.37,21.88
2025-02-26 16:25:56,920,6.07,21.91
2025-02-26 16:25:57,900,5.56,21.88
2025-02-26 16:25:58,900,5.39,21.74
2025-02-26 16:25:59,900,4.96,21.68
2025-02-26 16:26:00,900,4.59,21.54
2025-02-26 16:26:02,900,4.32,21.41
2025-02-26 16:26:03,900,4.05,21.41
2025-02-26 16:26:04,880,3.58,21.51
2025-02-26 16:26:05,880,3.38,21.14
2025-02-26 16:26:06,880,2.97,21.17
2025-02-26 16:26:08,880,2.74,21.03
2025-02-26 16:26:09,880,2.44,20.9
2025-02-26 16:26:10,880,2.13,20.87
2025-02-26 16:26:11,880,1.87,20.8
2025-02-26 16:26:12,880,1.63,20.66
2025-02-26 16:26:14,860,1.36,20.66
2025-02-26 16:26:15,860,1.09,20.63
2025-02-26 16:26:16,860,0.86,20.39
2025-02-26 16:26:17,840,0.39,20.39
2025-02-26 16:26:18,840,0.12,20.19
2025-02-26 16:26:20,840,-0.12,20.16
2025-02-26 16:26:21,820,-0.52,19.99
2025-02-26 16:26:22,820,-0.69,19.82
2025-02-26 16:26:23,820,-1.09,19.75
2025-02-26 16:26:24,820,-1.49,19.65
2025-02-26 16:26:26,820,-1.8,19.48
2025-02-26 16:26:27,820,-2.16,19.35
2025-02-26 16:26:28,820,-2.47,19.18
2025-02-26 16:26:29,820,-2.94,19.11
2025-02-26 16:26:30,820,-3.27,18.87
2025-02-26 16:26:31,820,-3.51,18.74
2025-02-26 16:26:33,820,-3.84,18.67
2025-02-26 16:26:34,820,-4.11,18.4
2025-02-26 16:26:35,820,-4.35,18.33
2025-02-26 16:26:36,800,-4.92,18.1
2025-02-26 16:26:37,800,-5.12,18.06
2025-02-26 16:26:39,800,-5.62,17.86
2025-02-26 16:26:40,800,-6.05,17.76
2025-02-26 16:26:41,800,-6.39,17.62
2025-02-26 16:26:42,800,-6.76,17.35
2025-02-26 16:26:43,800,-7.16,17.32
2025-02-26 16:26:44,800,-7.43,17.12
2025-02-26 16:26:46,800,-7.86,16.98
2025-02-26 16:26:47,800,-8.27,16.81
2025-02-26 16:26:48,800,-8.57,16.68
2025-02-26 16:26:49,800,-8.97,16.48
2025-02-26 16:26:50,800,-9.24,16.27
2025-02-26 16:26:51,800,-9.47,16.17
2025-02-26 16:26:53,780,-10.04,16.0
2025-02-26 16:26:54,780,-10.34,15.8
2025-02-26 16:26:55,780,-10.68,15.63
2025-02-26 16:26:56,780,-11.21,15.53
2025-02-26 16:26:57,780,-11.41,15.3
2025-02-26 16:26:58,780,-11.61,15.13
2025-02-26 16:27:00,760,-12.02,15.03
2025-02-26 16:27:01,760,-12.42,14.72
2025-02-26 16:27:02,760,-12.72,14.66
2025-02-26 16:27:03,760,-13.15,14.45
2025-02-26 16:27:05,760,-13.59,14.18
2025-02-26 16:27:06,760,-14.06,14.05
2025-02-26 16:27:07,760,-14.39,13.91
2025-02-26 16:27:08,760,-14.66,13.81
2025-02-26 16:27:09,760,-15.19,13.48
2025-02-26 16:27:10,760,-15.56,13.27
2025-02-26 16:27:11,760,-15.93,13.17
2025-02-26 16:27:13,760,-16.16,12.97
2025-02-26 16:27:14,760,-16.43,12.8
2025-02-26 16:27:15,740,-17.1,12.73
2025-02-26 16:27:16,740,-17.53,12.3
2025-02-26 16:27:17,740,-17.93,12.26
2025-02-26 16:27:19,740,-18.27,12.03
2025-02-26 16:27:20,740,-18.87,11.76
2025-02-26 16:27:21,740,-19.2,11.59
2025-02-26 16:27:22,740,-19.73,11.39
2025-02-26 16:27:23,740,-20.2,11.18
2025-02-26 16:27:24,740,-20.47,10.98
2025-02-26 16:27:26,740,-21.1,10.81
2025-02-26 16:27:27,740,-21.57,10.61
2025-02-26 16:27:28,740,-21.87,10.38
2025-02-26 16:27:29,740,-22.3,10.21
2025-02-26 16:27:30,740,-22.6,9.84
2025-02-26 16:27:31,740,-23.1,9.6
2025-02-26 16:27:33,740,-23.3,9.47
2025-02-26 16:27:34,740,-23.77,9.26
2025-02-26 16:27:35,740,-24.24,9.13
2025-02-26 16:27:36,740,-24.54,8.99
2025-02-26 16:27:37,740,-25.0,8.69
2025-02-26 16:27:38,740,-25.24,8.46
2025-02-26 16:27:39,740,-25.64,8.25
2025-02-26 16:27:41,740,-25.97,8.12
2025-02-26 16:27:42,740,-26.4,7.95
2025-02-26 16:27:43,740,-26.8,7.78
2025-02-26 16:27:44,740,-27.0,7.48
2025-02-26 16:27:45,740,-27.44,7.35
2025-02-26 16:27:46,740,-27.87,7.18
